id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-1556827,2021-01-07,000001,Vente en l'état futur d'achèvement,262500,33,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,2004,63.88,,,,,,,,,1,2,Appartement,67,3,,,,,,2.327009,48.926443
2021-1556827,2021-01-07,000001,Vente en l'état futur d'achèvement,262500,33,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000N0243,,,7102,12.5,,,,,,,,,1,3,Dépendance,,0,,,,,,2.327009,48.926443
2021-1557003,2021-01-07,000001,Vente,3200000,304,,BD CHARLES DE GAULLE,1449,92390,92078,Villeneuve-la-Garenne,92,,,920780000A0082,,,,,,,,,,,,,0,4,Local industriel. commercial ou assimilé,1818,0,S,sols,,,3760,2.313263,48.944462
2021-1557064,2021-01-14,000001,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,11,,2,,4,,,,,,3,3,Dépendance,,0,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000001,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,11,,2,,4,,,,,,3,2,Appartement,26,2,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000001,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,11,,2,,4,,,,,,3,3,Dépendance,,0,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000002,Vente,,166,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000J0083,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,234,2.33257,48.931566
2021-1557064,2021-01-14,000002,Vente,,166,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000J0083,,,,,,,,,,,,,0,1,Maison,32,3,S,sols,,,234,2.33257,48.931566
2021-1557064,2021-01-14,000003,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,14,,3,,,,,,,,2,3,Dépendance,,0,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000003,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,14,,3,,,,,,,,2,2,Appartement,26,2,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000004,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,17,,8,,,,,,,,2,2,Appartement,29,2,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000004,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,17,,8,,,,,,,,2,3,Dépendance,,0,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000005,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,10,,16,,,,,,,,2,3,Dépendance,,0,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000005,Vente,,24,,RUE DU FOND DE LA NOUE,3565,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0205,,,10,,16,,,,,,,,2,2,Appartement,28,2,,,,,,2.331297,48.931978
2021-1557064,2021-01-14,000006,Vente,,49,,RUE EDOUARD MANET,3130,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0199,,,,,,,,,,,,,0,1,Maison,48,3,S,sols,,,231,2.331206,48.932249
2021-1557064,2021-01-14,000006,Vente,,49,,RUE EDOUARD MANET,3130,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0199,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,231,2.331206,48.932249
2021-1557064,2021-01-14,000007,Vente,,173,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0427,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,310,2.331228,48.932368
2021-1557064,2021-01-14,000007,Vente,,173,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0427,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,310,2.331228,48.932368
2021-1557064,2021-01-14,000007,Vente,,173,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0427,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,310,2.331228,48.932368
2021-1557064,2021-01-14,000007,Vente,,173,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0427,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,310,2.331228,48.932368
2021-1557064,2021-01-14,000007,Vente,,173,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0427,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,310,2.331228,48.932368
2021-1557064,2021-01-14,000007,Vente,,173,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0427,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,310,2.331228,48.932368
2021-1557064,2021-01-14,000007,Vente,,173,,BD GALLIENI,4115,92390,92078,Villeneuve-la-Garenne,92,,,920780000L0427,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,310,2.331228,48.932368
